distribution,pop_skewness,sample_size,mean_sampling_skewness,median_sampling_skewness,lower_quantile,upper_quantile
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,350,1.277685360555144,1.2240700441324304,0.7994353517432533,2.0785749144084966
"Gamma (α = 2, θ = 1)",1.4142135623730951,350,1.37890590479563,1.3445003395611694,0.9589370736766345,2.0010398717781954
"Gamma (α = 1.78, θ = 1)",1.499063377991723,350,1.4623153098380821,1.4249416522776366,1.0163944123793045,2.131321184090651
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,350,1.4643825293608168,1.3955636432447562,0.9192674495891551,2.4214966004421723
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,350,1.700072728830882,1.6516864256981507,1.1983640833842626,2.4831896287095434
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,350,1.665727878183564,1.5737477654299554,1.0417885774117388,2.8444466076489343
"Gamma (α = 1, θ = 1)",2,350,1.936825737549052,1.8767129106997076,1.376641070064508,2.849342819936234
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,350,1.871186725090358,1.754880219249317,1.1650095286028816,3.291602779810127
"Gamma (α = 0.79, θ = 1)",2.250175801852048,350,2.169635130113331,2.09941141979024,1.5445357293164923,3.2207203436855347
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,350,2.0909509938365147,1.9461029856407648,1.285241232161373,3.8156136917407695
"Gamma (α = 0.64, θ = 1)",2.5,350,2.400331798150105,2.315006156923747,1.7112135430989817,3.593218032477441
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,350,2.3209152908910853,2.142537164498022,1.4074794027927682,4.367686334701773
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,350,2.626610005889567,2.529162267368819,1.869708154005705,3.96169017294614
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,350,2.5621372326381806,2.3453908844609526,1.5256869284127106,4.975121244306315
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,350,2.864378504402678,2.753426610855526,2.0276841023354004,4.374770821373148
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,350,2.815801004479594,2.5556247910100915,1.6491325712621947,5.61861741029713
"Gamma (α = 16, θ = 1)",0.5,400,0.49174013289209123,0.48486802416944674,0.23394419595949045,0.7912961425163083
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,400,0.7643746104200903,0.7463480689372768,0.44853739026990186,1.1889799090833308
"Gamma (α = 4, θ = 1)",1,400,0.9833233583330663,0.9650438049882271,0.657029888470479,1.4193549452512753
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,400,1.1024938796545822,1.066689734250612,0.7047312220309851,1.7189216750150687
"Gamma (α = 2.56, θ = 1)",1.25,400,1.2263263258162602,1.1995240683594495,0.8547529007311547,1.7568959722325475
